Framework Integration Service Server,Framework Integration Service,TCP,443,All
Framework Integration Service Server,System,TCP,80,All
Framework Integration Service Server,System,TCP,443,All
Import Manager Server,Content Server,TCP,80,All
Import Manager Server,Content Server,TCP,443,All
Import Manager Server,System,TCP,80,All
Import Manager Server,System,TCP,443,All
Import Manager With Transcription Server,Content Server,TCP,80,All
Import Manager With Transcription Server,Content Server,TCP,443,All
Import Manager With Transcription Server,System,TCP,80,All
Import Manager With Transcription Server,System,TCP,443,All
IP Analyzer Server,System,TCP,80,All
IP Analyzer Server,System,TCP,443,All
Lync Proxy Server,System,TCP,8080,All
Lync Proxy Server,System,TCP,8443,All
Post Processing Voice Biometrics Server,System,TCP,80,All
Post Processing Voice Biometrics Server,System,TCP,443,All
Recorder Integration Service Server,Recorder Integration Service,TCP,29520,All
Recorder Integration Service Server,System,TCP,80,All
Recorder Integration Service Server,System,TCP,443,All
Recorder Server,Content Server,TCP,80,All
Recorder Server,Content Server,TCP,443,All
Recorder Server,Recorder Integration Service,TCP,29520,All
Recorder Server,System,TCP,80,All
Recorder Server,System,TCP,443,All
Recording & QM Database Server,Contact Database,TCP,80,All
Recording & QM Database Server,Contact Database,TCP,443,All
Recording & QM Database Server,Interaction Analytics Services,TCP,80,All
Recording & QM Database Server,Interaction Analytics Services,TCP,443,All
Recording & QM Database Server,Interaction Flow Manager,TCP,80,All
Recording & QM Database Server,Interaction Flow Manager,TCP,443,All
Recording & QM Database Server,QM Database,TCP,80,All
Recording & QM Database Server,QM Database,TCP,443,All
Recording & QM Database Server,QM Database,TCP,50000,All
Recording & QM Database Server,QM Database,TCP,135,All
Recording & QM Database Server,QM Database,TCP,29180-29279,All
Recording & QM Database Server,Speech Products Database,TCP,80,All
Recording & QM Database Server,Speech Products Database,TCP,443,All
Recording & QM Database Server,SQL Server,TCP,1433,All
Recording & QM Database Server,System,TCP,80,All
Recording & QM Database Server,System,TCP,443,All
Remote SQL Server,Remote SQL Server,TCP,1433,All
Reporting Server,Reporting Services,TCP,80,All
Reporting Server,Reporting Services,TCP,443,All
Reporting Server,SQL Server,TCP,1433,All
Reporting Server,System,TCP,80,All
Reporting Server,System,TCP,443,All
Speech Analytics Application Server,Speech Application Service,TCP,80,All
Speech Analytics Application Server,Speech Application Service,TCP,80,All
Speech Analytics Application Server,Speech Application Service,TCP,443,All
Speech Analytics Application Server,Speech Application Service,TCP,443,All
Speech Analytics Application Server,System,TCP,80,All
Speech Analytics Application Server,System,TCP,443,All
Speech Analytics Transcription Server,System,TCP,80,All
Speech Analytics Transcription Server,System,TCP,443,All
Speech Database Server,Interaction Analytics Services,TCP,80,All
Speech Database Server,Interaction Analytics Services,TCP,443,All
Speech Database Server,Speech Products Database,TCP,80,All
Speech Database Server,Speech Products Database,TCP,443,All
Speech Database Server,SQL Server,TCP,1433,All
Speech Database Server,System,TCP,80,All
Speech Database Server,System,TCP,443,All
Survey Server with Telephony Interface,System,TCP,80,All
Survey Server with Telephony Interface,System,TCP,443,All
Survey Server with VXML Interface,System,TCP,80,All
Survey Server with VXML Interface,System,TCP,443,All
Telephone Playback Service Server,System,TCP,80,All
Telephone Playback Service Server,System,TCP,443,All
Text Analytics Application Server,Text Analytics Application Role,TCP,80,All
Text Analytics Application Server,Text Analytics Application Role,TCP,443,All
Text Analytics Application Server,Text Analytics Application Role,TCP,2181,All
Text Analytics Application Server,Text Analytics Application Role,TCP,2888,All
Text Analytics Application Server,Text Analytics Application Role,TCP,3888,All
Text Analytics Consolidated Server,Text Analytics Application Role,TCP,80,All
Text Analytics Consolidated Server,Text Analytics Application Role,TCP,443,All
Text Analytics Consolidated Server,Text Analytics Application Role,TCP,2181,All
Text Analytics Consolidated Server,Text Analytics Application Role,TCP,2888,All
Text Analytics Consolidated Server,Text Analytics Application Role,TCP,3888,All
Voiceprint Enrollment Server,System,TCP,80,All
Voiceprint Enrollment Server,System,TCP,443,All
Consolidated Server,Content Server,TCP,80,All
Consolidated Server,Content Server,TCP,443,All
Consolidated Server,Framework Applications,TCP,80,All
Consolidated Server,Framework Applications,TCP,443,All
Consolidated Server,Interaction Applications,TCP,80,All
Consolidated Server,Interaction Applications,TCP,443,All
Consolidated Server,IP Recorder,TCP,29504,All
Consolidated Server,IP Recorder,TCP,29510,All
Consolidated Server,Recorder Integration Service,TCP,29520,All
Consolidated Server,Screen Recorder,TCP,29503,All
Consolidated Server,TDM Recorder,TCP,29502,All
Data Center Server,Framework Applications,TCP,80,All
Data Center Server,Framework Applications,TCP,443,All
Data Center Server,Interaction Applications,TCP,80,All
Data Center Server,Interaction Applications,TCP,443,All
Recorder Server,IP Recorder,TCP,29504,All
Recorder Server,IP Recorder,TCP,29510,All
Recorder Server,Screen Recorder,TCP,29503,All
Recorder Server,TDM Recorder,TCP,29502,All
Centralized Archive Server,Telephone Playback Service,UDP,8500-8698,All
Desktop,Desktop Components,TCP,4001,All
Desktop,Desktop Components,UDP,8500-8503,All
Lync Proxy Server,Lync Proxy,TCP,29524,All
Telephone Playback Service Server,Telephone Playback Service,UDP,8500-8698,All
TeTCPnal Server,TeTCPnal Server,TCP,4002,All
TeTCPnal Server,TeTCPnal Server,UDP,8500-8698,All
Application Server,Interaction Applications,TCP,80,All
Application Server,Interaction Applications,TCP,443,All
Application Server,DPA Application,TCP,80,All
Application Server,DPA Application,TCP,443,All
Consolidated Server,DPA Application,TCP,80,All
Consolidated Server,DPA Application,TCP,443,All
Consolidated Server,Interaction Applications,TCP,80,All
Consolidated Server,Interaction Applications,TCP,443,All
Consolidated Server,Recorder Integration Service,TCP,3020,All
Consolidated Server,Recorder Integration Service,TCP,29522,All
Data Center Server,DPA Application,TCP,80,All
Data Center Server,DPA Application,TCP,443,All
Data Center Server,Interaction Applications,TCP,80,All
Data Center Server,Interaction Applications,TCP,443,All
Recorder Integration Service Server,Recorder Integration Service,TCP,3020,All
Recorder Integration Service Server,Recorder Integration Service,TCP,29522,All
Recorder Server,Recorder Integration Service,TCP,3020,All
Recorder Server,Recorder Integration Service,TCP,29522,All
Consolidated Server,Framework Applications,TCP,7001,All
Consolidated Server,SQL Server,TCP,1433,All
Data Center Server,Framework Applications,TCP,7001,All
Data Center Server,SQL Server,TCP,1433,All
Consolidated Server,RTP Proxy,TCP,29509,All
Recorder Server,RTP Proxy,TCP,29509,All
Mobile Gateway Server,Mobile Gateway,TCP,26379,All
Mobile Gateway Server,Mobile Gateway,TCP,6379,All
Centralized Archive Server,Telephone Playback Service,TCP,5060,All
Centralized Archive Server,Telephone Playback Service,UDP,5060,All
Consolidated Server,Telephone Playback Service,TCP,5060,All
Consolidated Server,Telephone Playback Service,UDP,5060,All
Survey Server with Telephony Interface,Customer Feedback Survey,TCP,5060,All
Survey Server with Telephony Interface,Customer Feedback Survey,UDP,5060,All
Survey Server with VXML Interface,Customer Feedback Survey,TCP,5060,All
Survey Server with VXML Interface,Customer Feedback Survey,UDP,5060,All
Telephone Playback Service Server,Telephone Playback Service,TCP,5060,All
Telephone Playback Service Server,Telephone Playback Service,UDP,5060,All
Consolidated Server,Telephone Playback Service,UDP,8500-8698,All
Consolidated Server,Archive Database,TCP,137,All
Consolidated Server,Archive Database,TCP,139,All
Consolidated Server,Archive Database,TCP,445,All
Consolidated Server,Archive Database,UDP,137,All
Consolidated Server,Archive Database,UDP,138,All
Consolidated Server,Contact Database,TCP,137,All
Consolidated Server,Contact Database,TCP,139,All
Consolidated Server,Contact Database,TCP,445,All
Consolidated Server,Contact Database,UDP,137,All
Consolidated Server,Contact Database,UDP,138,All
